chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
66.8,52.77,65.01,-2.313,3.4706,-0.7998,0.7875,3.3224,-0.2297,2.6165,-0.6011,-0.7632,Oblong_face_shape
59.52,46.65,60.6,-2.5568,3.3847,-0.768,0.7954,3.7291,-0.2084,2.9661,-0.6181,-0.7771,Oblong_face_shape
62.47,47.88,65.72,-1.8352,3.958,-0.6784,0.8059,3.7715,-0.1953,3.0394,-0.5937,-0.7367,Oblong_face_shape
73.87,60.41,65.07,-2.0998,3.9725,-0.7136,0.756,4.325,-0.1595,3.2695,-0.5214,-0.6897,Oblong_face_shape
67.76,53.32,67.28,-1.1185,5.5645,-0.5718,0.5044,3.0532,-0.2919,1.5402,-0.4496,-0.8912,Oblong_face_shape
75.41,61.26,66.3,-1.3311,5.1786,-0.6315,0.6338,15.8212,-0.0399,10.0273,-0.4004,-0.6317,Oblong_face_shape
46.01,33.68,57.05,-1.9395,3.4464,-0.7375,0.7509,3.605,-0.236,2.7068,-0.6388,-0.8507,Oblong_face_shape
61.74,46.41,66.08,-2.2356,3.3994,-0.7787,0.6929,2.4271,-0.4278,1.6818,-0.7195,-1.0384,Oblong_face_shape
67.01,52.63,65.39,-2.3941,3.491,-0.7668,0.7459,2.9315,-0.2899,2.1865,-0.634,-0.85,Oblong_face_shape
69.62,54.2,66.8,-1.5778,4.8031,-0.5914,0.6888,4.3264,-0.1595,2.9799,-0.4752,-0.6899,Oblong_face_shape
64.1,49.94,73.1,-1.7331,4.29,-0.6513,0.6431,3.141,-0.2746,2.02,-0.5546,-0.8624,Oblong_face_shape
62.8,45.04,78.47,-2.9483,3.5515,-0.6832,0.6742,2.2192,-0.4922,1.4961,-0.7364,-1.0923,Oblong_face_shape
74.33,63.29,67.36,-1.6842,3.7527,-0.8354,0.6422,3.0079,-0.2902,1.9318,-0.5605,-0.8728,Oblong_face_shape
74.68,60.51,89.95,-2.3724,3.3379,-0.8008,0.6699,1.9463,-0.614,1.3038,-0.8005,-1.195,Oblong_face_shape
73.77,59.17,79.3,-2.8801,3.3131,-0.7503,0.8089,2.8885,-0.292,2.3365,-0.6822,-0.8433,Oblong_face_shape
67.39,53.21,69.91,-2.0593,2.7469,-1.0533,0.746,1.8533,-0.6559,1.3826,-0.9068,-1.2155,Oblong_face_shape
69.65,54.93,70.82,-1.8332,4.4825,-0.6145,0.7117,3.6831,-0.1938,2.6214,-0.5081,-0.7138,Oblong_face_shape
62.65,48.08,64.61,-2.1248,3.9014,-0.7129,0.6567,3.0484,-0.2942,2.0019,-0.5889,-0.8967,Oblong_face_shape
68.31,55.19,68.76,-1.5545,3.9622,-0.7605,0.6861,2.7307,-0.3112,1.8735,-0.583,-0.8497,Oblong_face_shape
71.68,57.5,68.16,-1.5692,4.5187,-0.6858,0.6688,3.6588,-0.2072,2.4471,-0.507,-0.758,Oblong_face_shape
71.11,56.21,79.84,-1.7011,4.603,-0.5998,0.5186,2.0264,-0.5904,1.0508,-0.6204,-1.1963,Oblong_face_shape
74.17,58.27,72.9,-1.1666,5.2655,-0.611,0.6086,3.3958,-0.2401,2.0667,-0.4961,-0.8152,Oblong_face_shape
58.2,43.85,56.72,-2.8523,3.532,-0.7103,0.8172,5.1145,-0.1386,4.1794,-0.5793,-0.7089,Oblong_face_shape
69.09,53.82,71.3,-2.1129,4.1399,-0.6241,0.9409,8.221,-0.0664,7.7352,-0.5133,-0.5456,Oblong_face_shape
74.52,60.19,72.94,-1.3877,4.7562,-0.6895,0.667,3.7411,-0.1954,2.4955,-0.4877,-0.7311,Oblong_face_shape
