chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
64.85,50.21,81.94,-2.682,3.4735,-0.6909,0.6483,2.2342,-0.5126,Oblong_face_shape
73.21,56.6,76.54,-1.5711,4.4031,-0.6844,0.6243,2.3514,-0.391,Oblong_face_shape
57.32,43.07,72.84,-1.2038,5.233,-0.576,0.5267,2.4209,-0.4033,Oblong_face_shape
71.23,58.08,67.51,-3.0386,2.83,-0.8838,0.8643,2.4516,-0.3493,Oblong_face_shape
63.39,49.63,57.19,-2.06,4.0682,-0.6589,0.6346,4.7854,-0.169,Oblong_face_shape
67.75,54.68,70.55,-1.6646,4.0718,-0.7332,0.6528,2.7403,-0.3163,Oblong_face_shape
70.58,55.63,63.34,-2.4817,3.6098,-0.7283,0.7189,3.6179,-0.2225,Oblong_face_shape
66.77,53.36,73.94,-1.7281,3.9457,-0.6996,0.7819,3.0105,-0.2527,Oblong_face_shape
70.79,56.58,65.27,-1.4182,4.4528,-0.6731,0.677,3.6218,-0.213,Oblong_face_shape
71.6,57.43,76.54,-1.8326,4.5293,-0.6315,0.5777,2.9333,-0.311,Oblong_face_shape
74.6,59.4,87.91,-1.2558,4.8767,-0.6168,0.6046,2.2257,-0.4534,Oblong_face_shape
61.17,45.79,61.22,-2.3405,3.1546,-0.8067,1.0797,7.0652,-0.0888,Oblong_face_shape
72.77,59.35,75.96,-2.1408,3.9248,-0.7203,0.6235,2.4976,-0.3974,Oblong_face_shape
77.61,63.28,72.57,-1.841,4.1665,-0.7119,0.6699,2.5591,-0.3293,Oblong_face_shape
58.73,45.51,53.41,-1.7178,3.8208,-0.7544,0.778,4.9929,-0.1364,Oblong_face_shape
70.98,58.51,67.86,-1.4272,4.3273,-0.75,0.6558,3.2041,-0.2474,Oblong_face_shape
57.42,43.08,74.62,-2.242,3.5964,-0.7171,0.6044,2.3056,-0.5028,Oblong_face_shape
62.52,48.45,76.93,-1.7522,4.2958,-0.6552,0.768,2.5574,-0.2974,Oblong_face_shape
70.7,57.71,63.73,-1.3471,4.3768,-0.7329,0.6492,3.7966,-0.2046,Oblong_face_shape
74.78,61.35,71.6,-0.7693,7.3648,-0.506,0.3848,3.6294,-0.2387,Oblong_face_shape
55.66,40.01,76.8,-1.4836,4.4574,-0.6096,0.5712,2.3688,-0.4673,Oblong_face_shape
64.06,50.43,77.18,-1.3896,4.5779,-0.6658,0.6423,2.5341,-0.335,Oblong_face_shape
59.56,43.24,63.28,-1.7116,3.4758,-0.8136,0.8228,2.9974,-0.2787,Oval_face_shape
69.71,54.23,72.26,-1.4172,4.0722,-0.7597,0.6011,2.3473,-0.4474,Oval_face_shape
68.94,53.95,76.26,-1.0472,4.0807,-0.9225,0.5972,1.9806,-0.6118,Oval_face_shape
68.57,53.54,77.01,-1.646,3.2096,-0.8913,0.6621,2.0406,-0.5898,Oval_face_shape
61.84,47.0,83.4,-1.6657,3.4621,-0.7845,0.7559,2.1106,-0.4611,Oval_face_shape
70.94,56.21,80.45,-1.3918,3.7096,-0.8711,0.7735,2.1656,-0.4219,Oval_face_shape
66.72,51.44,78.97,-1.4758,3.5596,-0.8329,0.7843,2.401,-0.3736,Oval_face_shape
66.61,48.18,75.59,-1.0425,5.7589,-0.5303,0.6851,12.3417,-0.0546,Oval_face_shape
